,L1_mean,L1_var,L1_wins,L2_mean,L2_var,L2_wins,Linf_mean,Linf_var,Linf_wins
minmax,1.0589878787878788,0.001821479766546188,0,0.017662808080808078,6.040397935069501e-07,0,2.35,0.06313131313131314,100
median,0.6710161616161615,5.231249748788775e-05,100,0.012859838383838383,1.442407175520124e-08,0,3.74,0.23474747474747465,0
single,2.36840202020202,0.01743529208625383,0,0.0367389494949495,3.542678335647053e-06,0,4.43,0.2475757575757576,0
complete,0.9217777777777776,0.00016044538848334383,0,0.018497919191919187,3.977136573365533e-08,0,4.91,0.18373737373737373,0
average,0.6979118181818182,4.792318329710742e-05,0,0.012670565656565656,1.6375179609584254e-08,100,3.7892,0.2040437979797979,0
ward,7.916385777777777,0.1176054576848514,0,0.11686963636363636,2.8756548194319468e-05,0,12.875399999999999,0.5102493333333332,0
