method,metric,winning_seeds
minmax,L1,
minmax,L2,
minmax,Linf,"1003688148, 1019073476, 1070523321, 1076707527, 1077528741, 1114843443, 1115083196, 1223089081, 1274581022, 1295913254, 1319779209, 1328550144, 1381268104, 143874895, 1603546816, 1650963360, 1681703102, 1709303756, 1800668496, 1821900457, 1833162419, 1863937050, 2098933918, 2100300368, 2116251478, 2126824046, 219594864, 2199212659, 2302210615, 2356532323, 2439557905, 2496271608, 2524856112, 254226925, 2602046076, 2604200778, 2622212023, 2624734480, 2628472269, 2783669475, 283445984, 2837407224, 2852383101, 2893948753, 292003906, 2943831304, 2961085150, 2980236073, 3002298816, 3013302819, 3033885844, 3076553724, 3095610850, 3101896246, 3121391950, 3146836524, 3190723635, 3201533325, 3229549601, 3305067330, 3341083145, 3367832186, 3370070578, 3372825232, 339967295, 3476398930, 34990298, 3578325013, 3629096822, 3640252263, 3705470890, 3724144713, 3774087351, 3779233237, 3827877354, 3949392650, 3954947474, 4022160370, 4034016800, 4045815342, 4052889328, 4079486792, 4146580598, 4187546725, 4228391979, 444386854, 447795817, 508892856, 522115368, 615189677, 625101323, 647389074, 650746773, 681616815, 690460698, 726342095, 82879937, 917879721, 93658006, 986584719"
median,L1,"1003688148, 1019073476, 1070523321, 1076707527, 1077528741, 1114843443, 1115083196, 1223089081, 1274581022, 1295913254, 1319779209, 1328550144, 1381268104, 143874895, 1603546816, 1650963360, 1681703102, 1709303756, 1800668496, 1821900457, 1833162419, 1863937050, 2098933918, 2100300368, 2116251478, 2126824046, 219594864, 2199212659, 2302210615, 2356532323, 2439557905, 2496271608, 2524856112, 254226925, 2602046076, 2604200778, 2622212023, 2624734480, 2628472269, 2783669475, 283445984, 2837407224, 2852383101, 2893948753, 292003906, 2943831304, 2961085150, 2980236073, 3002298816, 3013302819, 3033885844, 3076553724, 3095610850, 3101896246, 3121391950, 3146836524, 3190723635, 3201533325, 3229549601, 3305067330, 3341083145, 3367832186, 3370070578, 3372825232, 339967295, 3476398930, 34990298, 3578325013, 3629096822, 3640252263, 3705470890, 3724144713, 3774087351, 3779233237, 3827877354, 3949392650, 3954947474, 4022160370, 4034016800, 4045815342, 4052889328, 4079486792, 4146580598, 4187546725, 4228391979, 444386854, 447795817, 508892856, 522115368, 615189677, 625101323, 647389074, 650746773, 681616815, 690460698, 726342095, 82879937, 917879721, 93658006, 986584719"
median,L2,
median,Linf,
single,L1,
single,L2,
single,Linf,
complete,L1,
complete,L2,
complete,Linf,
average,L1,
average,L2,"1003688148, 1019073476, 1070523321, 1076707527, 1077528741, 1114843443, 1115083196, 1223089081, 1274581022, 1295913254, 1319779209, 1328550144, 1381268104, 143874895, 1603546816, 1650963360, 1681703102, 1709303756, 1800668496, 1821900457, 1833162419, 1863937050, 2098933918, 2100300368, 2116251478, 2126824046, 219594864, 2199212659, 2302210615, 2356532323, 2439557905, 2496271608, 2524856112, 254226925, 2602046076, 2604200778, 2622212023, 2624734480, 2628472269, 2783669475, 283445984, 2837407224, 2852383101, 2893948753, 292003906, 2943831304, 2961085150, 2980236073, 3002298816, 3013302819, 3033885844, 3076553724, 3095610850, 3101896246, 3121391950, 3146836524, 3190723635, 3201533325, 3229549601, 3305067330, 3341083145, 3367832186, 3370070578, 3372825232, 339967295, 3476398930, 34990298, 3578325013, 3629096822, 3640252263, 3705470890, 3724144713, 3774087351, 3779233237, 3827877354, 3949392650, 3954947474, 4022160370, 4034016800, 4045815342, 4052889328, 4079486792, 4146580598, 4187546725, 4228391979, 444386854, 447795817, 508892856, 522115368, 615189677, 625101323, 647389074, 650746773, 681616815, 690460698, 726342095, 82879937, 917879721, 93658006, 986584719"
average,Linf,
ward,L1,
ward,L2,
ward,Linf,
