method,metric,winning_seeds
minmax,L1,"1080952005, 1103482091, 117810032, 1275684327, 133076845, 1376798008, 1376858771, 149440711, 1497575211, 159153715, 1603820662, 1691486333, 2036461263, 2091347989, 2293836813, 2415978326, 2507759772, 2538872359, 2596814482, 2754484341, 2791694438, 2814317439, 3098512100, 3172996452, 3366996487, 3467740099, 3474252004, 3680431904, 3880259724, 4042535691, 4095186345, 4151630803, 4226014460, 582979862, 850022965"
minmax,L2,"1103482091, 1668342339, 2538872359, 3474252004, 4095186345"
minmax,Linf,"1080952005, 1103482091, 1128470173, 1144421888, 117810032, 1275684327, 133076845, 1376798008, 1376858771, 1434118560, 149440711, 1497575211, 159153715, 1603820662, 1613997880, 16438609, 1668342339, 1691486333, 1705570595, 1795234217, 1825529949, 1859326817, 1890638432, 1895186070, 1948142277, 1989745499, 2036461263, 2082336709, 2091347989, 2124458748, 2131088152, 2151909162, 2159548491, 2202272000, 2203968611, 2285683017, 2293836813, 2313964421, 2415978326, 2507759772, 2538872359, 2540054071, 2549505116, 2550668731, 2561645071, 2596814482, 2598454262, 2641676532, 2744064428, 2754484341, 2758019025, 2765213829, 2791694438, 2814317439, 281514002, 2821489377, 2928953184, 3002547145, 3020670593, 303357456, 3098512100, 3146291990, 3172996452, 3366996487, 3395921733, 3418531806, 3451351638, 3467740099, 3474252004, 3511152613, 3545876205, 3637481626, 3680431904, 378023627, 386079117, 3871541090, 3880259724, 4042535691, 4052777207, 4081656649, 4095186345, 4097077326, 4125312608, 4151630803, 4226014460, 4255527129, 427775645, 52769837, 553345806, 582979862, 675971218, 74123668, 79778505, 804508352, 833608233, 850022965, 850386889, 976069104, 988813134"
median,L1,"1128470173, 1144421888, 1434118560, 1613997880, 16438609, 1668342339, 1705570595, 1795234217, 1825529949, 1859326817, 1890638432, 1895186070, 1948142277, 1989745499, 2082336709, 2124458748, 2131088152, 2151909162, 2159548491, 2202272000, 2203968611, 2285683017, 2313964421, 2540054071, 2549505116, 2550668731, 2561645071, 2598454262, 2641676532, 2744064428, 2758019025, 2765213829, 281514002, 2821489377, 2928953184, 3002547145, 3020670593, 303357456, 3146291990, 3395921733, 3418531806, 3511152613, 3545876205, 3637481626, 378023627, 386079117, 3871541090, 4052777207, 4081656649, 4097077326, 4125312608, 4255527129, 427775645, 52769837, 553345806, 675971218, 702907794, 74123668, 79778505, 804508352, 833608233, 850386889, 976069104, 988813134"
median,L2,
median,Linf,
single,L1,
single,L2,
single,Linf,
complete,L1,
complete,L2,
complete,Linf,
average,L1,3451351638
average,L2,"1080952005, 1128470173, 1144421888, 117810032, 1275684327, 133076845, 1376798008, 1376858771, 1434118560, 149440711, 1497575211, 159153715, 1603820662, 1613997880, 16438609, 1691486333, 1705570595, 1795234217, 1825529949, 1859326817, 1890638432, 1895186070, 1948142277, 1989745499, 2036461263, 2082336709, 2091347989, 2124458748, 2131088152, 2151909162, 2159548491, 2202272000, 2203968611, 2285683017, 2293836813, 2313964421, 2415978326, 2507759772, 2540054071, 2549505116, 2550668731, 2561645071, 2596814482, 2598454262, 2641676532, 2744064428, 2754484341, 2758019025, 2765213829, 2791694438, 2814317439, 281514002, 2821489377, 2928953184, 3002547145, 3020670593, 303357456, 3098512100, 3146291990, 3172996452, 3366996487, 3395921733, 3418531806, 3451351638, 3467740099, 3511152613, 3545876205, 3637481626, 3680431904, 378023627, 386079117, 3871541090, 3880259724, 4042535691, 4052777207, 4081656649, 4097077326, 4125312608, 4151630803, 4226014460, 4255527129, 427775645, 52769837, 553345806, 582979862, 675971218, 702907794, 74123668, 79778505, 804508352, 833608233, 850022965, 850386889, 976069104, 988813134"
average,Linf,702907794
ward,L1,
ward,L2,
ward,Linf,
