,L1_mean,L1_var,L1_wins,L2_mean,L2_var,L2_wins,Linf_mean,Linf_var,Linf_wins
minmax,121.743,2567.9824737373733,35,50.5503,414.8186312222223,5,27.791900000000002,127.52561756565659,99
median,111.962,2266.8817656565657,64,51.592199999999984,458.6083345050505,0,36.0959,269.0641375656566,0
single,164.47369999999995,4612.5691447575755,0,79.42339999999999,973.3286065050506,0,54.707699999999996,470.4368805151515,0
complete,178.38739999999999,6573.050467919193,0,85.78569999999999,1397.726046979798,0,57.44490000000002,581.8326292828282,0
average,116.4156,2360.683481454545,1,49.63400000000001,406.25335959595964,95,31.523699999999998,171.79569627272727,1
ward,230.37780000000004,6390.071005212123,0,98.618,1209.494202020202,0,61.162499999999994,473.1174068181818,0
