,L1_mean,L1_var,L1_wins,L2_mean,L2_var,L2_wins,Linf_mean,Linf_var,Linf_wins
minmax,1.750382828282828,0.001561194702869939,0,0.030621939393939392,2.670037190597949e-07,0,5.725,0.08775252525252528,100
median,1.6156545454545452,0.0003142680720066698,100,0.029311757575757567,7.607814745763939e-08,0,7.57,0.45969696969696977,0
single,4.972636363636363,0.010816549022517798,0,0.07715404040404042,2.099043892655768e-06,0,10.87,0.31626262626262625,0
complete,4.420529292929293,0.0024694876775097165,0,0.07062022222222224,4.231537284898779e-07,0,12.5,0.41414141414141414,0
average,1.6349368888888889,0.00030893561775246565,0,0.02899759595959596,7.447153465065918e-08,100,7.552899999999999,0.36797837373737374,0
ward,17.634412323232322,0.6679992305413074,0,0.2612499595959596,0.00016673721216697125,0,28.523999999999997,2.3572606060606054,0
