,L1_mean,L1_var,L1_wins,L2_mean,L2_var,L2_wins,Linf_mean,Linf_var,Linf_wins
minmax,728.7491,19194.266212313134,2,145.0186,717.4808606464645,6,50.1337,103.15705182828282,89
median,662.3294999999999,14976.004503787875,93,141.717,627.7234575757575,11,61.292799999999986,181.41090925252527,5
single,1223.8629,66282.98456827273,0,249.28680000000003,2281.406599757576,0,94.9342,296.26202662626264,0
complete,1597.8635000000002,161235.42943106062,0,322.58619999999996,6085.093270262626,0,108.6866,494.86886307070716,0
average,681.8448999999999,15997.502657565658,5,138.74239999999998,610.2415052929292,83,56.6209,135.28915170707072,6
ward,2195.2274,316890.9341123636,0,415.5516,10687.200866101011,0,126.19930000000001,798.1811096060609,0
