,L1_mean,L1_var,L1_wins,L2_mean,L2_var,L2_wins,Linf_mean,Linf_var,Linf_wins
minmax,1.4736606060606063,0.0005302895540446811,0,0.026174262626262625,1.1540967227627797e-07,0,5.07,0.030404040404040402,98
median,1.4114181818181815,0.00024641021375885157,99,0.025714000000000004,7.171515213351763e-08,0,6.05,0.19444444444444445,0
single,4.15509292929293,0.012448088925166384,0,0.06507977777777778,2.4999261048398486e-06,0,9.76,0.1842424242424243,0
complete,4.2628949494949495,0.0049626171355427575,0,0.06732523232323233,8.792471182594242e-07,0,11.01,0.25242424242424244,0
average,1.4317546262626264,0.00025135926187041364,1,0.025311737373737375,6.944042568321726e-08,100,6.0262,0.22194501010101012,2
ward,14.340056989898992,0.43242147738215075,0,0.21390466666666666,0.00010958670840184313,0,23.439,1.4326171717171716,0
