,L1_mean,L1_var,L1_wins,L2_mean,L2_var,L2_wins,Linf_mean,Linf_var,Linf_wins
minmax,2.387453535353535,0.0022319576326472576,0,0.04223125252525252,7.280566056442396e-07,0,8.865,0.24674242424242426,99
median,2.262286868686869,0.0005877032790923203,96,0.04095111111111112,1.7243575433964185e-07,0,10.295,0.5408838383838384,0
single,6.576874747474746,0.0251715518247468,0,0.10301258585858586,4.806897738119902e-06,0,16.68,0.7046464646464647,0
complete,7.970438383838384,0.1164117304500983,0,0.12438543434343434,2.725828160556694e-05,0,19.18,0.977373737373737,0
average,2.279898080808081,0.0005917297578066137,4,0.04058353535353536,1.6345298717199537e-07,100,9.9466,0.3999822626262626,1
ward,22.93407153535354,0.8681149105947834,0,0.34163846464646475,0.0002238978885411611,0,37.302,3.6837373737373746,0
