,L1_mean,L1_var,L1_wins,L2_mean,L2_var,L2_wins,Linf_mean,Linf_var,Linf_wins
minmax,0.37599999999999995,0.014418181818181816,24,0.14699,0.0018025756565656571,18,0.635,0.05987373737373738,100
median,0.27699999999999997,0.012293939393939395,73,0.15175,0.0020586338383838383,0,1.025,0.17361111111111108,0
single,0.44699999999999995,0.03362727272727273,0,0.21971000000000004,0.004513581717171717,0,1.27,0.2394949494949495,0
complete,0.31799999999999995,0.018460606060606063,1,0.18796,0.003508362020202022,0,1.3,0.25252525252525243,0
average,0.32591000000000003,0.013166062525252526,2,0.13526,0.0015669014141414142,82,0.7988,0.07437834343434342,0
ward,0.77715,0.07842679545454545,0,0.32013,0.010436336464646465,0,1.8659000000000001,0.3356486767676768,0
