method,metric,winning_seeds
minmax,L1,"109313210, 1632460093, 2932199194, 331881239, 3712524763, 3812081079, 4126676137"
minmax,L2,"109313210, 2932199194, 3267965719, 3712524763, 3812081079"
minmax,Linf,"1024251663, 1080707455, 1092889369, 1140466487, 1231128867, 127995165, 1359199863, 1396057991, 1419793455, 1421486238, 1428343337, 1490666222, 1576067520, 1632460093, 1639915289, 1643902992, 1647908996, 1666233963, 1692517941, 1753689442, 1813805486, 1818074845, 1905149191, 1954337858, 2026539408, 2060359699, 2070917870, 2071278604, 2073661672, 2250720171, 2313164184, 2325343751, 2410649607, 246125371, 2470924383, 2487670415, 2510218952, 2537832982, 259734309, 2608753089, 2612392419, 2627534828, 2670437338, 2732723835, 2807457510, 2835883022, 2848806297, 2869945391, 2879693033, 2897552097, 2901095382, 2932199194, 2945614407, 2947709563, 2981666822, 3182082773, 3197683439, 3247629120, 3253406613, 3267965719, 3290887582, 3312063791, 331881239, 3394159841, 3401035852, 3462824606, 353249521, 3533762253, 3547529933, 3576713102, 3598696627, 3682815663, 3712524763, 3726983363, 3769567102, 3773912056, 3812081079, 385006784, 3855779545, 3926017147, 3933848646, 3972645952, 4080656995, 4083469429, 4126676137, 4149067311, 416017617, 530765653, 632882417, 650682643, 684995949, 70198596, 911974511, 914801513, 938656541, 943144313"
median,L1,"1024251663, 1080707455, 1092889369, 1140466487, 1351697991, 1359199863, 1419793455, 1421486238, 1428343337, 1576067520, 1643902992, 1647908996, 1666233963, 1692517941, 1753689442, 1813805486, 1818074845, 1905149191, 1925723238, 1954337858, 2026539408, 2070917870, 2071278604, 2313164184, 246125371, 2470924383, 2487670415, 2510218952, 2537832982, 259734309, 2608753089, 2612392419, 2627534828, 2670437338, 2732723835, 2848806297, 2869945391, 2879693033, 2901095382, 2945614407, 2947709563, 2981666822, 3247629120, 3253406613, 3267965719, 3290887582, 3312063791, 3394159841, 3401035852, 3462824606, 353249521, 3533762253, 3576713102, 3598696627, 3682815663, 3726983363, 3769567102, 385006784, 3855779545, 3926017147, 3972645952, 4080656995, 4083469429, 4149067311, 416017617, 530765653, 650682643, 684995949, 70198596, 816634648, 911974511, 938656541"
median,L2,"1490666222, 1576067520, 1632460093, 1643902992, 1925723238, 2510218952, 2537832982, 2608753089, 2612392419, 2732723835, 2869945391, 3394159841, 3401035852, 3462824606, 353249521, 3533762253, 3598696627, 3769567102, 385006784, 3855779545, 4083469429, 530765653, 70198596, 816634648, 911974511, 914801513, 938656541"
median,Linf,
single,L1,
single,L2,
single,Linf,
complete,L1,
complete,L2,
complete,Linf,
average,L1,"1231128867, 127995165, 1396057991, 1490666222, 1639915289, 2060359699, 2073661672, 2250720171, 2325343751, 2410649607, 2807457510, 2835883022, 2897552097, 3182082773, 3197683439, 3547529933, 3773912056, 3933848646, 632882417, 914801513, 943144313"
average,L2,"1024251663, 1080707455, 1092889369, 1140466487, 1231128867, 127995165, 1351697991, 1359199863, 1396057991, 1419793455, 1421486238, 1428343337, 1639915289, 1647908996, 1666233963, 1692517941, 1753689442, 1813805486, 1818074845, 1905149191, 1954337858, 2026539408, 2060359699, 2070917870, 2071278604, 2073661672, 2250720171, 2313164184, 2325343751, 2410649607, 246125371, 2470924383, 2487670415, 259734309, 2627534828, 2670437338, 2807457510, 2835883022, 2848806297, 2879693033, 2897552097, 2901095382, 2945614407, 2947709563, 2981666822, 3182082773, 3197683439, 3247629120, 3253406613, 3290887582, 3312063791, 331881239, 3547529933, 3576713102, 3682815663, 3726983363, 3773912056, 3926017147, 3933848646, 3972645952, 4080656995, 4126676137, 4149067311, 416017617, 632882417, 650682643, 684995949, 943144313"
average,Linf,"109313210, 1351697991, 1925723238, 816634648"
ward,L1,
ward,L2,
ward,Linf,
