method,metric,winning_seeds
minmax,L1,
minmax,L2,
minmax,Linf,"104096172, 1042129901, 1070591835, 1083100099, 1095395902, 1144298631, 1157304038, 1183617653, 1188639826, 1203290668, 1213956849, 1258560127, 1260739745, 1264854995, 1277354701, 1373802296, 1375953031, 1398378969, 1410243716, 163560821, 1667474285, 178643671, 1790576424, 1835606865, 1894884511, 1929277330, 1948126077, 1962358287, 1981826762, 2036279410, 2038447287, 2064960308, 2083234044, 219044086, 2216640497, 2223101046, 2252478986, 2256753764, 2265594413, 2306157782, 2372195528, 2459984312, 2508845448, 2511822282, 2515521671, 2563298121, 2672614329, 2719932231, 2747643246, 284301593, 2849068037, 2888053377, 2900867056, 2945061578, 3009632651, 3024306746, 3039394975, 3144856585, 3151970737, 3159341301, 3171167765, 3213152286, 3279536607, 3291759330, 3292236224, 3333540634, 3417300264, 3473479001, 3516473947, 351811557, 3597402488, 3616097223, 3632511798, 3653330120, 3658619380, 3724746080, 3765347254, 3802700681, 3819852887, 3916556794, 400786143, 407727649, 4079320163, 4101811239, 4135126884, 4159504126, 4209898271, 4219310769, 4275852713, 502146574, 507383697, 653231168, 694642053, 699281234, 723155441, 779577158, 914651156, 920399089, 92509680, 96380489"
median,L1,"104096172, 1042129901, 1070591835, 1083100099, 1095395902, 1144298631, 1157304038, 1183617653, 1188639826, 1203290668, 1213956849, 1258560127, 1260739745, 1264854995, 1277354701, 1373802296, 1375953031, 1398378969, 1410243716, 163560821, 1667474285, 178643671, 1790576424, 1835606865, 1894884511, 1929277330, 1948126077, 1962358287, 1981826762, 2036279410, 2038447287, 2064960308, 2083234044, 219044086, 2216640497, 2223101046, 2252478986, 2256753764, 2265594413, 2306157782, 2372195528, 2459984312, 2508845448, 2511822282, 2515521671, 2563298121, 2672614329, 2719932231, 2747643246, 284301593, 2849068037, 2888053377, 2900867056, 2945061578, 3009632651, 3024306746, 3039394975, 3144856585, 3151970737, 3159341301, 3171167765, 3213152286, 3279536607, 3291759330, 3292236224, 3333540634, 3417300264, 3473479001, 3516473947, 351811557, 3597402488, 3616097223, 3632511798, 3653330120, 3658619380, 3724746080, 3765347254, 3802700681, 3819852887, 3916556794, 400786143, 407727649, 4079320163, 4101811239, 4135126884, 4159504126, 4209898271, 4219310769, 4275852713, 502146574, 507383697, 653231168, 694642053, 699281234, 723155441, 779577158, 914651156, 920399089, 92509680, 96380489"
median,L2,
median,Linf,
single,L1,
single,L2,
single,Linf,
complete,L1,
complete,L2,
complete,Linf,
average,L1,
average,L2,"104096172, 1042129901, 1070591835, 1083100099, 1095395902, 1144298631, 1157304038, 1183617653, 1188639826, 1203290668, 1213956849, 1258560127, 1260739745, 1264854995, 1277354701, 1373802296, 1375953031, 1398378969, 1410243716, 163560821, 1667474285, 178643671, 1790576424, 1835606865, 1894884511, 1929277330, 1948126077, 1962358287, 1981826762, 2036279410, 2038447287, 2064960308, 2083234044, 219044086, 2216640497, 2223101046, 2252478986, 2256753764, 2265594413, 2306157782, 2372195528, 2459984312, 2508845448, 2511822282, 2515521671, 2563298121, 2672614329, 2719932231, 2747643246, 284301593, 2849068037, 2888053377, 2900867056, 2945061578, 3009632651, 3024306746, 3039394975, 3144856585, 3151970737, 3159341301, 3171167765, 3213152286, 3279536607, 3291759330, 3292236224, 3333540634, 3417300264, 3473479001, 3516473947, 351811557, 3597402488, 3616097223, 3632511798, 3653330120, 3658619380, 3724746080, 3765347254, 3802700681, 3819852887, 3916556794, 400786143, 407727649, 4079320163, 4101811239, 4135126884, 4159504126, 4209898271, 4219310769, 4275852713, 502146574, 507383697, 653231168, 694642053, 699281234, 723155441, 779577158, 914651156, 920399089, 92509680, 96380489"
average,Linf,
ward,L1,
ward,L2,
ward,Linf,
