,L1_mean,L1_var,L1_wins,L2_mean,L2_var,L2_wins,Linf_mean,Linf_var,Linf_wins
minmax,1.363679797979798,0.0030062259684901253,0,0.023619171717171716,5.314667330379605e-07,0,3.82,0.07838383838383839,100
median,1.1162666666666667,0.00014407062565250492,100,0.0210539595959596,5.2139911099568164e-08,0,5.915,0.2982575757575757,0
single,3.579464646464647,0.008630687550950788,0,0.05538597979797979,1.7928901355149267e-06,0,7.21,0.1675757575757576,0
complete,2.3048565656565656,0.0004408240511429974,0,0.03910531313131313,9.680716191606946e-08,0,8.1,0.31313131313131315,0
average,1.1637963232323232,0.0001609709461005317,0,0.020338686868686867,4.4878321012388995e-08,100,5.5144,0.25338852525252525,0
ward,12.432621636363635,0.32013274768922123,0,0.18399670707070703,7.786379313222007e-05,0,20.285400000000003,1.198726101010101,0
