method,metric,winning_seeds
minmax,L1,
minmax,L2,
minmax,Linf,"1002593573, 112537998, 1181799229, 1191957671, 1309902737, 1315717768, 1316794600, 1326543967, 1369637683, 1397743664, 1659871289, 1665023367, 1772883495, 1792327802, 1826549650, 1839148367, 1847906428, 1913009303, 1914036849, 1941338225, 1946442562, 1967025989, 1970661918, 1992351877, 2017527816, 2050231455, 2074105153, 2093516512, 2140565430, 2163831624, 2234219811, 2236574564, 2259854947, 2291525086, 2296624729, 2366157161, 2459029681, 2514791536, 2578623075, 2591613958, 2601066749, 268986964, 2709054897, 2793441754, 2911031135, 2921159719, 2958934705, 2968588714, 2999483720, 3040769022, 3072833372, 3074650072, 3112670113, 3143085475, 316476855, 3166014899, 3184700334, 3204172636, 3225751777, 3228025775, 3236481210, 3241084232, 3316210288, 3317880401, 3324004840, 3377250332, 3394922525, 3493832383, 3521287927, 3529599588, 3539349936, 3643684397, 3653700946, 3666962192, 3672725313, 3680432470, 370894827, 3850405778, 392816721, 3941961495, 396159793, 3988055385, 4084095427, 4103293047, 4122970399, 4129278728, 4161840537, 4262830304, 469394429, 500993118, 610499832, 64958782, 772401263, 784527434, 860156821, 897708244, 949581257, 95566474"
median,L1,"1002593573, 112537998, 1181799229, 1191957671, 1309902737, 1315717768, 1397743664, 1659871289, 1839148367, 1847906428, 1913009303, 1941338225, 1946442562, 2050231455, 2093516512, 2234219811, 2236574564, 2259854947, 2296624729, 2578623075, 2591613958, 2709054897, 2793441754, 2911031135, 2921159719, 2958934705, 2968588714, 2999483720, 3040769022, 3072833372, 3166014899, 3184700334, 3225751777, 3241084232, 3316210288, 3317880401, 3324004840, 3521287927, 3529599588, 3539349936, 3643684397, 3672725313, 3674965425, 370894827, 3850405778, 392816721, 3941961495, 396159793, 3988055385, 4262830304, 500993118, 610499832, 64958782, 772401263, 784527434"
median,L2,"112537998, 1191957671, 1309902737, 1397743664, 1659871289, 1913009303, 1941338225, 2234219811, 2236574564, 2296624729, 2591613958, 2921159719, 2999483720, 3040769022, 3072833372, 3241084232, 3316210288, 3539349936, 3643684397, 3672725313, 3674965425, 370894827, 392816721, 3941961495, 3988055385, 4084095427, 4262830304, 500993118, 610499832, 64958782, 772401263"
median,Linf,"2901798104, 3674965425"
single,L1,
single,L2,
single,Linf,
complete,L1,
complete,L2,
complete,Linf,
average,L1,"1316794600, 1326543967, 1369637683, 1665023367, 1772883495, 1792327802, 1826549650, 1914036849, 1967025989, 1970661918, 1992351877, 2017527816, 2074105153, 2140565430, 2163831624, 2291525086, 2366157161, 2459029681, 2514791536, 2601066749, 268986964, 2901798104, 3074650072, 3112670113, 3143085475, 316476855, 3204172636, 3228025775, 3236481210, 3377250332, 3394922525, 3493832383, 3653700946, 3666962192, 3680432470, 4084095427, 4103293047, 4122970399, 4129278728, 4161840537, 469394429, 860156821, 897708244, 949581257, 95566474"
average,L2,"1002593573, 1181799229, 1315717768, 1316794600, 1326543967, 1369637683, 1665023367, 1772883495, 1792327802, 1826549650, 1839148367, 1847906428, 1914036849, 1946442562, 1967025989, 1970661918, 1992351877, 2017527816, 2050231455, 2074105153, 2093516512, 2140565430, 2163831624, 2259854947, 2291525086, 2366157161, 2459029681, 2514791536, 2578623075, 2601066749, 268986964, 2709054897, 2793441754, 2901798104, 2911031135, 2958934705, 2968588714, 3074650072, 3112670113, 3143085475, 316476855, 3166014899, 3184700334, 3204172636, 3225751777, 3228025775, 3236481210, 3317880401, 3324004840, 3377250332, 3394922525, 3493832383, 3521287927, 3529599588, 3653700946, 3666962192, 3680432470, 3850405778, 396159793, 4103293047, 4122970399, 4129278728, 4161840537, 469394429, 784527434, 860156821, 897708244, 949581257, 95566474"
average,Linf,
ward,L1,
ward,L2,
ward,Linf,
