,L1_mean,L1_var,L1_wins,L2_mean,L2_var,L2_wins,Linf_mean,Linf_var,Linf_wins
minmax,0.7255713939393938,0.0003289995228868624,0,0.012777151515151514,8.857242520089172e-08,0,2.477,0.0036717171717171693,98
median,0.6966515353535354,0.00016022569921189246,55,0.012392929292929294,4.244155667479822e-08,31,2.8130999999999995,0.015775141414141422,2
single,2.0765643434343435,0.002675116181331732,0,0.03291008080808081,5.676392530549858e-07,0,4.7024,0.008650747474747469,0
complete,2.0132504646464646,0.004022829611571692,0,0.03219329292929293,8.480466231543065e-07,0,5.133000000000001,0.01637272727272728,0
average,0.6971651515151513,0.00016806533065580814,45,0.012353393939393942,4.6169871761178784e-08,69,2.7653,0.016885767676767676,0
ward,9.173830808080808,0.1789795864787555,0,0.14123672727272726,5.691613660366547e-05,0,14.975099999999998,0.9027989797979795,0
