,L1_mean,L1_var,L1_wins,L2_mean,L2_var,L2_wins,Linf_mean,Linf_var,Linf_wins
minmax,0.7284999999999998,0.05733611111111111,48,0.29879,0.008382288787878788,15,1.5,0.29797979797979796,99
median,0.639,0.04906969696969698,48,0.2986,0.008301939393939393,5,2.04,0.6246464646464647,0
single,0.9789999999999999,0.13319090909090908,0,0.4651600000000001,0.023564782222222226,0,2.93,1.075858585858586,0
complete,0.944,0.18289292929292933,3,0.46926000000000007,0.03155282060606061,0,3.2,1.3939393939393936,0
average,0.6814599999999998,0.05034374585858588,1,0.28527,0.007940118282828283,80,1.7813000000000003,0.39156293939393944,1
ward,1.4005599999999998,0.24316978424242428,0,0.58738,0.03967272282828283,0,3.6407000000000007,1.6996732424242424,0
